timestamp,equity,pnl,position
1700000162,999996.160000,-3.840000,-4
1700000162,999996.280000,-3.720000,-2
1700000163,999996.280000,-3.720000,-2
1700000163,999996.320000,-3.680000,-4
1700000164,999996.320000,-3.680000,-4
1700000164,999996.480000,-3.520000,-6
1700000165,999996.480000,-3.520000,-6
1700000166,999996.480000,-3.520000,-6
1700000166,999996.480000,-3.520000,-8
1700000167,999996.480000,-3.520000,-8
1700000167,999996.960000,-3.040000,-10
1700000168,999996.960000,-3.040000,-10
1700000169,999996.960000,-3.040000,-10
1700000170,999996.960000,-3.040000,-10
1700000171,999996.960000,-3.040000,-10
1700000172,999997.560000,-2.440000,-10
1700000173,999997.560000,-2.440000,-10
1700000174,999998.160000,-1.840000,-10
1700000175,999998.160000,-1.840000,-10
1700000176,999998.160000,-1.840000,-10
1700000177,999998.160000,-1.840000,-10
1700000178,999998.060000,-1.940000,-10
1700000178,999997.360000,-2.640000,-8
1700000179,999997.360000,-2.640000,-8
1700000179,999997.440000,-2.560000,-6
1700000180,999997.440000,-2.560000,-6
1700000181,999997.440000,-2.560000,-6
1700000181,999997.020000,-2.980000,-4
1700000182,999997.020000,-2.980000,-4
1700000182,999997.060000,-2.940000,-2
1700000183,999997.040000,-2.960000,-2
1700000183,999996.920000,-3.080000,0
1700000184,999996.920000,-3.080000,0
1700000184,999996.920000,-3.080000,2
1700000185,999996.920000,-3.080000,2
1700000186,999996.940000,-3.060000,2
1700000186,999997.020000,-2.980000,4
1700000187,999997.020000,-2.980000,4
1700000187,999997.020000,-2.980000,6
1700000188,999997.080000,-2.920000,6
1700000188,999997.080000,-2.920000,8
1700000189,999997.080000,-2.920000,8
1700000189,999997.240000,-2.760000,10
1700000190,999997.240000,-2.760000,10
1700000191,999997.640000,-2.360000,10
1700000192,999997.640000,-2.360000,10
1700000193,999998.240000,-1.760000,10
1700000194,999998.240000,-1.760000,10
1700000195,999998.240000,-1.760000,10
1700000196,999998.240000,-1.760000,10
1700000197,999998.240000,-1.760000,10
1700000198,999998.240000,-1.760000,10
1700000199,999998.140000,-1.860000,10
1700000199,999997.540000,-2.460000,8
1700000200,999997.540000,-2.460000,8
1700000201,999997.540000,-2.460000,8
1700000201,999997.540000,-2.460000,6
1700000202,999997.540000,-2.460000,6
1700000202,999997.180000,-2.820000,4
1700000203,999997.180000,-2.820000,4
1700000203,999997.180000,-2.820000,2
1700000204,999997.160000,-2.840000,2
1700000204,999997.060000,-2.940000,0
1700000205,999997.060000,-2.940000,0
1700000206,999997.060000,-2.940000,0
1700000206,999997.060000,-2.940000,-2
1700000207,999997.060000,-2.940000,-2
1700000207,999997.180000,-2.820000,-4
1700000208,999997.180000,-2.820000,-4
1700000208,999997.180000,-2.820000,-6
1700000209,999997.240000,-2.760000,-6
1700000209,999997.540000,-2.460000,-8
1700000210,999997.540000,-2.460000,-8
1700000211,999997.540000,-2.460000,-8
1700000211,999997.540000,-2.460000,-10
1700000212,999997.540000,-2.460000,-10
1700000213,999997.540000,-2.460000,-10
1700000214,999998.140000,-1.860000,-10
1700000215,999998.140000,-1.860000,-10
1700000216,999997.940000,-2.060000,-10
1700000217,999997.940000,-2.060000,-10
1700000217,999997.740000,-2.260000,-8
1700000218,999997.420000,-2.580000,-8
1700000218,999997.420000,-2.580000,-6
1700000219,999997.420000,-2.580000,-6
1700000219,999997.180000,-2.820000,-4
1700000220,999997.180000,-2.820000,-4
1700000221,999997.100000,-2.900000,-4
1700000221,999997.100000,-2.900000,-2
1700000222,999997.100000,-2.900000,-2
1700000222,999997.040000,-2.960000,-1
1700000222,999997.040000,-2.960000,0
1700000223,999997.040000,-2.960000,0
1700000223,999997.040000,-2.960000,2
1700000224,999997.040000,-2.960000,2
1700000224,999997.220000,-2.780000,3
1700000224,999997.220000,-2.780000,4
1700000225,999997.220000,-2.780000,4
1700000226,999997.300000,-2.700000,4
1700000226,999997.300000,-2.700000,6
1700000227,999997.300000,-2.700000,6
1700000227,999997.300000,-2.700000,8
1700000228,999997.940000,-2.060000,8
1700000228,999997.940000,-2.060000,10
1700000229,999997.940000,-2.060000,10
1700000230,999997.940000,-2.060000,10
1700000231,999998.040000,-1.960000,10
1700000232,999998.040000,-1.960000,10
1700000233,999998.040000,-1.960000,10
1700000234,999998.040000,-1.960000,10
1700000235,999998.040000,-1.960000,10
1700000236,999998.040000,-1.960000,10
1700000237,999997.440000,-2.560000,10
1700000237,999996.840000,-3.160000,8
1700000238,999996.840000,-3.160000,8
1700000238,999996.840000,-3.160000,6
1700000239,999996.840000,-3.160000,6
1700000239,999996.480000,-3.520000,4
1700000240,999996.480000,-3.520000,4
1700000241,999996.480000,-3.520000,4
1700000241,999996.480000,-3.520000,2
1700000242,999996.480000,-3.520000,2
1700000242,999996.360000,-3.640000,0
1700000243,999996.360000,-3.640000,0
1700000243,999996.360000,-3.640000,-2
1700000244,999996.360000,-3.640000,-2
1700000244,999996.480000,-3.520000,-4
1700000245,999996.480000,-3.520000,-4
1700000246,999996.480000,-3.520000,-4
1700000246,999996.480000,-3.520000,-6
1700000247,999996.480000,-3.520000,-6
1700000247,999996.780000,-3.220000,-8
